,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
21762,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-01,Parts per billion,7.508333,24.1,22,23,Parts per million,0.022708,0.03,9,28,Parts per billion,-0.070833,0.0,11,0.0,Parts per million,0.203792,0.397,22,
21763,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-01,Parts per billion,7.508333,24.1,22,23,Parts per million,0.022708,0.03,9,28,Parts per billion,-0.070833,0.0,11,0.0,Parts per million,0.210526,0.3,22,3.0
21764,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-01,Parts per billion,7.508333,24.1,22,23,Parts per million,0.022708,0.03,9,28,Parts per billion,-0.0625,0.0,11,,Parts per million,0.203792,0.397,22,
21765,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-01,Parts per billion,7.508333,24.1,22,23,Parts per million,0.022708,0.03,9,28,Parts per billion,-0.0625,0.0,11,,Parts per million,0.210526,0.3,22,3.0
21766,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-02,Parts per billion,13.829167,30.4,19,28,Parts per million,0.016,0.025,9,23,Parts per billion,-0.013043,0.1,13,0.0,Parts per million,0.242833,0.435,19,
21767,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-02,Parts per billion,13.829167,30.4,19,28,Parts per million,0.016,0.025,9,23,Parts per billion,-0.013043,0.1,13,0.0,Parts per million,0.241667,0.3,0,3.0
21768,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-02,Parts per billion,13.829167,30.4,19,28,Parts per million,0.016,0.025,9,23,Parts per billion,-0.014286,0.0,5,,Parts per million,0.242833,0.435,19,
21769,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-02,Parts per billion,13.829167,30.4,19,28,Parts per million,0.016,0.025,9,23,Parts per billion,-0.014286,0.0,5,,Parts per million,0.241667,0.3,0,3.0
21770,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-03,Parts per billion,15.309091,32.2,20,30,Parts per million,0.017208,0.032,11,30,Parts per billion,0.079167,0.3,6,0.0,Parts per million,0.322739,0.481,3,
21771,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-03,Parts per billion,15.309091,32.2,20,30,Parts per million,0.017208,0.032,11,30,Parts per billion,0.079167,0.3,6,0.0,Parts per million,0.320833,0.4,1,5.0
21772,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-03,Parts per billion,15.309091,32.2,20,30,Parts per million,0.017208,0.032,11,30,Parts per billion,0.05,0.2,8,,Parts per million,0.322739,0.481,3,
21773,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-03,Parts per billion,15.309091,32.2,20,30,Parts per million,0.017208,0.032,11,30,Parts per billion,0.05,0.2,8,,Parts per million,0.320833,0.4,1,5.0
21774,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-04,Parts per billion,16.775,34.2,19,32,Parts per million,0.017583,0.027,11,25,Parts per billion,0.1375,0.5,8,0.0,Parts per million,0.303042,0.508,20,
21775,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-04,Parts per billion,16.775,34.2,19,32,Parts per million,0.017583,0.027,11,25,Parts per billion,0.1375,0.5,8,0.0,Parts per million,0.3,0.4,22,5.0
21776,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-04,Parts per billion,16.775,34.2,19,32,Parts per million,0.017583,0.027,11,25,Parts per billion,0.1125,0.3,14,,Parts per million,0.303042,0.508,20,
21777,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-04,Parts per billion,16.775,34.2,19,32,Parts per million,0.017583,0.027,11,25,Parts per billion,0.1125,0.3,14,,Parts per million,0.3,0.4,22,5.0
21778,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-05,Parts per billion,9.683333,17.3,20,16,Parts per million,0.018458,0.021,0,19,Parts per billion,0.029167,0.2,14,0.0,Parts per million,0.228958,0.283,20,
21779,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-05,Parts per billion,9.683333,17.3,20,16,Parts per million,0.018458,0.021,0,19,Parts per billion,0.029167,0.2,14,0.0,Parts per million,0.241667,0.4,0,5.0
21780,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-05,Parts per billion,9.683333,17.3,20,16,Parts per million,0.018458,0.021,0,19,Parts per billion,0.025,0.1,14,,Parts per million,0.228958,0.283,20,
21781,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-05,Parts per billion,9.683333,17.3,20,16,Parts per million,0.018458,0.021,0,19,Parts per billion,0.025,0.1,14,,Parts per million,0.241667,0.4,0,5.0
21782,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-06,Parts per billion,14.545833,19.3,14,18,Parts per million,0.010042,0.016,0,15,Parts per billion,0.158333,0.5,16,0.0,Parts per million,0.266,0.358,21,
21783,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-06,Parts per billion,14.545833,19.3,14,18,Parts per million,0.010042,0.016,0,15,Parts per billion,0.158333,0.5,16,0.0,Parts per million,0.258333,0.3,0,3.0
21784,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-06,Parts per billion,14.545833,19.3,14,18,Parts per million,0.010042,0.016,0,15,Parts per billion,0.125,0.4,17,,Parts per million,0.266,0.358,21,
21785,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-06,Parts per billion,14.545833,19.3,14,18,Parts per million,0.010042,0.016,0,15,Parts per billion,0.125,0.4,17,,Parts per million,0.258333,0.3,0,3.0
21786,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-07,Parts per billion,13.5,21.1,1,20,Parts per million,0.010333,0.02,10,19,Parts per billion,0.141667,0.5,6,0.0,Parts per million,0.283458,0.44,7,
21787,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-07,Parts per billion,13.5,21.1,1,20,Parts per million,0.010333,0.02,10,19,Parts per billion,0.141667,0.5,6,0.0,Parts per million,0.275,0.3,0,3.0
21788,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-07,Parts per billion,13.5,21.1,1,20,Parts per million,0.010333,0.02,10,19,Parts per billion,0.1125,0.3,8,,Parts per million,0.283458,0.44,7,
21789,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-07,Parts per billion,13.5,21.1,1,20,Parts per million,0.010333,0.02,10,19,Parts per billion,0.1125,0.3,8,,Parts per million,0.275,0.3,0,3.0
21790,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-08,Parts per billion,16.379167,29.2,11,27,Parts per million,0.004375,0.008,21,7,Parts per billion,0.541667,2.8,8,3.0,Parts per million,0.450958,1.157,7,
21791,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-08,Parts per billion,16.379167,29.2,11,27,Parts per million,0.004375,0.008,21,7,Parts per billion,0.541667,2.8,8,3.0,Parts per million,0.45,0.7,11,8.0
21792,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-08,Parts per billion,16.379167,29.2,11,27,Parts per million,0.004375,0.008,21,7,Parts per billion,0.5125,1.8,8,,Parts per million,0.450958,1.157,7,
21793,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-08,Parts per billion,16.379167,29.2,11,27,Parts per million,0.004375,0.008,21,7,Parts per billion,0.5125,1.8,8,,Parts per million,0.45,0.7,11,8.0
21794,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-09,Parts per billion,3.645833,4.5,9,4,Parts per million,0.01675,0.023,17,21,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.1935,0.217,0,
21795,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-09,Parts per billion,3.645833,4.5,9,4,Parts per million,0.01675,0.023,17,21,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.2125,0.3,0,3.0
21796,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-09,Parts per billion,3.645833,4.5,9,4,Parts per million,0.01675,0.023,17,21,Parts per billion,0.0,0.0,2,,Parts per million,0.1935,0.217,0,
21797,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-09,Parts per billion,3.645833,4.5,9,4,Parts per million,0.01675,0.023,17,21,Parts per billion,0.0,0.0,2,,Parts per million,0.2125,0.3,0,3.0
21798,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-10,Parts per billion,7.218182,21.6,20,20,Parts per million,0.022083,0.031,10,29,Parts per billion,-0.004167,0.0,0,0.0,Parts per million,0.198304,0.329,20,
21799,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-10,Parts per billion,7.218182,21.6,20,20,Parts per million,0.022083,0.031,10,29,Parts per billion,-0.004167,0.0,0,0.0,Parts per million,0.204167,0.3,23,3.0
21800,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-10,Parts per billion,7.218182,21.6,20,20,Parts per million,0.022083,0.031,10,29,Parts per billion,0.0,0.0,2,,Parts per million,0.198304,0.329,20,
21801,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-10,Parts per billion,7.218182,21.6,20,20,Parts per million,0.022083,0.031,10,29,Parts per billion,0.0,0.0,2,,Parts per million,0.204167,0.3,23,3.0
21802,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-11,Parts per billion,20.5625,31.8,22,29,Parts per million,0.010083,0.023,9,21,Parts per billion,0.55,3.5,15,4.0,Parts per million,0.29025,0.509,22,
21803,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-11,Parts per billion,20.5625,31.8,22,29,Parts per million,0.010083,0.023,9,21,Parts per billion,0.55,3.5,15,4.0,Parts per million,0.270833,0.4,22,5.0
21804,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-11,Parts per billion,20.5625,31.8,22,29,Parts per million,0.010083,0.023,9,21,Parts per billion,0.5125,1.9,17,,Parts per million,0.29025,0.509,22,
21805,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-11,Parts per billion,20.5625,31.8,22,29,Parts per million,0.010083,0.023,9,21,Parts per billion,0.5125,1.9,17,,Parts per million,0.270833,0.4,22,5.0
21806,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-12,Parts per billion,27.9375,46.9,19,43,Parts per million,0.010875,0.025,11,23,Parts per billion,0.579167,1.3,11,1.0,Parts per million,0.44025,0.748,1,
21807,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-12,Parts per billion,27.9375,46.9,19,43,Parts per million,0.010875,0.025,11,23,Parts per billion,0.579167,1.3,11,1.0,Parts per million,0.425,0.5,0,6.0
21808,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-12,Parts per billion,27.9375,46.9,19,43,Parts per million,0.010875,0.025,11,23,Parts per billion,0.5375,1.0,11,,Parts per million,0.44025,0.748,1,
21809,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2016-01-12,Parts per billion,27.9375,46.9,19,43,Parts per million,0.010875,0.025,11,23,Parts per billion,0.5375,1.0,11,,Parts per million,0.425,0.5,0,6.0
